FORPRINT: Tue Feb  4 19:18:07 2014
       22860.040      -142919.01
       22869.858      -144663.25
       22879.676      -146083.99
       22889.494      -147392.59
       22899.312      -148742.71
       22909.130      -149799.39
       22918.948      -150728.45
       22928.766      -151691.16
       22938.584      -152385.41
       22948.402      -152974.84
       22958.220      -153609.19
       22968.038      -153965.51
       22977.856      -154197.68
       22987.674      -154512.01
       22997.492      -154573.80
       23007.310      -154489.44
       23017.128      -154470.01
       23026.946      -154216.53
       23036.764      -153833.61
       23046.582      -153518.69
       23056.400      -152955.15
       23066.218      -152234.04
       23076.036      -151606.67
       23085.854      -150749.51
       23095.672      -149703.21
       23105.490      -148718.51
       23115.308      -147508.04
       23125.126      -146109.16
       23134.944      -144753.12
       23144.762      -143133.95
       23154.580      -141267.38
       23164.398      -139428.57
       23174.216      -137300.74
       23184.034      -134835.67
       23193.852      -132286.49
       23203.670      -129351.05
       23213.488      -125946.43
       23223.306      -122255.78
       23233.124      -117891.14
       23242.942      -112639.73
       23252.760      -106557.13
       23262.578      -98972.740
       23272.396      -89125.620
       23282.214      -76134.583
       23292.032      -57453.823
       23301.850      -27743.964
       23311.668       27790.889
       23321.486       180066.38
       23331.304       5455852.4
       23341.122       503010.44
       23350.940       291278.91
       23360.758       202930.68
       23370.576       152340.90
       23380.394       119055.17
       23390.212       95458.335
       23400.030       77610.209
       23409.848       63725.627
       23419.666       52799.466
       23429.484       43753.473
       23439.302       36254.635
       23449.120       30161.045
       23458.938       24898.711
       23468.756       20398.069
       23478.574       16708.328
       23488.392       13422.046
       23498.210       10571.670
       23508.028       8293.6461
       23517.846       6195.9969
       23527.664       4331.5576
       23537.482       2911.6264
       23547.300       1589.2586
       23557.118       391.92434
       23566.936      -470.54664
       23576.754      -1302.3165
       23586.572      -2062.6716
       23596.390      -2518.6839
       23606.208      -3000.3663
       23616.026      -3483.6061
       23625.844      -3689.0698
       23635.662      -3916.7062
       23645.480      -4181.8004
       23655.298      -4223.2396
       23665.116      -4304.9120
       23674.934      -4436.3342
       23684.752      -4341.3465
       23694.570      -4310.4545
       23704.388      -4376.2168
       23714.206      -4222.8084
       23724.024      -4109.2354
       23733.842      -4107.8078
       23743.660      -3927.9608
       23753.478      -3792.0097
       23763.296      -3766.9456
       23773.114      -3550.6014
       23782.932      -3388.8931
       23792.750      -3374.1650
       23802.568      -3168.8819
       23812.386      -2984.1581
       23822.204      -2949.5839
       23832.022      -2758.2431
       23841.840      -2582.9205
       23851.658      -2546.0343
       23861.476      -2331.3130
       23871.294      -2131.0900
       23881.112      -2093.1697
       23890.930      -1868.8032
       23900.748      -1611.0329
       23910.566      -1499.5468
       23920.384      -1219.0837
       23930.202      -880.46343
       23940.020      -649.90236
       23949.838      -200.46903
       23959.656       347.00435
       23969.474       809.48556
       23979.292       1553.8864
       23989.110       2516.6106
       23998.928       3508.3451
       24008.746       4887.2874
       24018.564       6674.6227
       24028.382       8759.7141
       24038.200       11603.212
       24048.018       15364.302
       24057.836       20152.952
       24067.654       26871.820
       24077.472       36483.746
       24087.290       50593.477
       24097.108       73508.798
       24106.926       115824.11
       24116.744       217976.94
       24126.562       916937.63
       24136.380       754134.12
       24146.198       432414.32
       24156.016       319685.62
       24165.834       258136.92
       24175.652       217739.45
       24185.470       188611.67
       24195.288       166321.71
       24205.106       148246.36
       24214.924       133279.62
       24224.742       120634.68
       24234.560       109447.64
       24244.378       99594.218
       24254.196       90895.228
       24264.014       82823.885
       24273.832       75430.342
       24283.650       68723.248
       24293.468       62307.554
       24303.286       56306.907
       24313.104       50773.910
       24322.922       45334.021
       24332.740       40155.372
       24342.558       35356.303
       24352.376       30573.182
       24362.194       25932.092
       24372.012       21593.237
       24381.830       17231.130
       24391.648       12974.627
       24401.466       8977.2701
       24411.284       4899.0928
       24421.102       883.06745
       24430.920      -2874.3274
       24440.738      -6712.6276
       24450.556      -10545.923
       24460.374      -14150.274
       24470.192      -17830.640
       24480.010      -21505.578
       24489.828      -24964.110
       24499.646      -28527.929
       24509.464      -32107.006
       24519.282      -35452.613
       24529.100      -38882.687
       24538.918      -42367.622
       24548.736      -45637.857
       24558.554      -48973.806
       24568.372      -52351.523
       24578.190      -55516.853
       24588.008      -58765.750
       24597.826      -62067.598
       24607.644      -65133.703
       24617.462      -68251.081
       24627.280      -71450.106
       24637.098      -74426.735
       24646.916      -77426.290
       24656.734      -80483.795
       24666.552      -83311.970
       24676.370      -86169.254
       24686.188      -89083.648
       24696.006      -91735.193
       24705.824      -94366.663
       24715.642      -97064.339
       24725.460      -99495.989
       24735.278      -101855.54
       24745.096      -104227.82
       24754.914      -106293.41
       24764.732      -108250.06
       24774.550      -110164.98
       24784.368      -111675.26
       24794.186      -112939.18
       24804.004      -114053.88
       24813.822      -114612.22
       24823.640      -114665.49
       24833.458      -114224.88
       24843.276      -112771.47
       24853.094      -110156.18
       24862.912      -106029.21
       24872.730      -99217.076
       24882.548      -88330.038
       24892.366      -70428.951
       24902.184      -37501.638
       24912.002       35829.974
       24921.820       328753.39
       24931.638       922653.70
       24941.456       347722.43
       24951.274       202416.75
       24961.092       129234.75
       24970.910       83138.215
       24980.728       50335.498
       24990.546       25504.102
       25000.364       5798.3251
       25010.182      -10609.380
       25020.000      -24392.948
       25029.818      -36222.624
       25039.636      -46764.171
       25049.454      -56013.858
       25059.272      -64211.695
       25069.090      -71814.532
       25078.908      -78661.082
       25088.726      -84820.094
       25098.544      -90655.043
       25108.362      -95970.940
       25118.180      -100804.26
       25127.998      -105472.37
       25137.816      -109739.68
       25147.634      -113594.19
       25157.452      -117382.95
       25167.270      -120878.94
       25177.088      -124008.83
       25186.906      -127098.87
       25196.724      -129944.98
       25206.542      -132483.92
       25216.360      -135023.70
       25226.178      -137345.23
       25235.996      -139354.14
       25245.814      -141397.03
       25255.632      -143279.42
       25265.450      -144855.52
       25275.268      -146453.48
       25285.086      -147908.27
       25294.904      -149091.25
       25304.722      -150313.56
       25314.540      -151400.30
       25324.358      -152194.76
       25334.176      -153043.63
       25343.994      -153802.93
       25353.812      -154268.04
       25363.630      -154763.77
       25373.448      -155176.75
       25383.266      -155323.38
       25393.084      -155509.54
       25402.902      -155613.87
       25412.720      -155426.21
       25422.538      -155282.83
       25432.356      -155097.13
       25442.174      -154613.72
       25451.992      -154141.99
       25461.810      -153625.07
       25471.628      -152831.35
       25481.446      -152048.00
       25491.264      -151209.57
       25501.082      -150058.14
       25510.900      -148903.92
       25520.718      -147716.62
       25530.536      -146193.08
       25540.354      -144607.85
       25550.172      -142953.47
       25559.990      -140947.05
       25569.808      -138829.15
       25579.626      -136570.60
       25589.444      -133846.94
       25599.262      -130892.27
       25609.080      -127680.54
       25618.898      -123796.75
       25628.716      -119362.45
       25638.534      -114261.56
       25648.352      -107927.92
       25658.170      -100156.61
       25667.988      -90297.921
       25677.806      -76778.513
       25687.624      -57347.621
       25697.442      -26386.921
       25707.260       33356.983
       25717.078       207056.01
       25726.896       2273981.3
       25736.714       469163.20
       25746.532       278365.82
       25756.350       194929.26
       25766.168       146570.67
       25775.986       114481.86
       25785.804       91318.256
       25795.622       74005.105
       25805.440       60530.934
       25815.258       49601.955
       25825.076       40816.370
       25834.894       33573.921
       25844.712       27368.845
       25854.530       22278.199
       25864.348       17989.105
       25874.166       14148.799
       25883.984       10991.681
       25893.802       8342.6660
       25903.620       5899.9637
       25913.438       3903.1496
       25923.256       2240.0916
       25933.074       652.67937
       25942.892      -587.38138
       25952.710      -1579.5279
       25962.528      -2609.1794
       25972.346      -3374.5606
       25982.164      -3921.1868
       25991.982      -4539.8108
       26001.800      -4971.5607
       26011.618      -5233.4388
       26021.436      -5593.9995
       26031.254      -5784.3241
       26041.072      -5821.3905
       26050.890      -6011.1263
       26060.708      -6068.3395
       26070.526      -5962.8553
       26080.344      -6006.8891
       26090.162      -5966.2300
       26099.980      -5788.4878
       26109.798      -5763.1146
       26119.616      -5651.2355
       26129.434      -5401.3036
       26139.252      -5339.9137
       26149.070      -5217.7235
       26158.888      -4937.4936
       26168.706      -4827.8206
       26178.524      -4693.8146
       26188.342      -4419.8436
       26198.160      -4308.1362
       26207.978      -4161.7194
       26217.796      -3865.3958
       26227.614      -3756.1186
       26237.432      -3630.2048
       26247.250      -3327.4795
       26257.068      -3180.9761
       26266.886      -3042.7611
       26276.704      -2737.3444
       26286.522      -2566.0207
       26296.340      -2378.9521
       26306.158      -1999.2676
       26315.976      -1757.8103
       26325.794      -1498.2164
       26335.612      -996.28055
       26345.430      -568.20321
       26355.248      -107.70467
       26365.066       629.03872
       26374.884       1373.6532
       26384.702       2249.3827
       26394.520       3522.7420
       26404.338       4929.4416
       26414.156       6640.5361
       26423.974       9032.0215
       26433.792       11956.852
       26443.610       15687.767
       26453.428       20863.391
       26463.246       27816.308
       26473.064       37626.396
       26482.882       52557.210
       26492.700       76665.566
       26502.518       121714.32
