FORPRINT: Mon Feb  3 16:23:31 2014
       16610.839      -74.849178
       16610.849      -75.044170
       16610.859      -75.237980
       16610.869      -75.430605
       16610.879      -75.622005
       16610.889      -75.812287
       16610.899      -76.001304
       16610.909      -76.189195
       16610.919      -76.375816
       16610.929      -76.561270
       16610.939      -76.745519
       16610.949      -76.928561
       16610.959      -77.110391
       16610.969      -77.290975
       16610.979      -77.470411
       16610.989      -77.648561
       16610.999      -77.825557
       16611.009      -78.001263
       16611.019      -78.175777
       16611.029      -78.349062
       16611.039      -78.521116
       16611.049      -78.691938
       16611.059      -78.861491
       16611.069      -79.029871
       16611.079      -79.196947
       16611.089      -79.362813
       16611.099      -79.527434
       16611.109      -79.690808
       16611.119      -79.852934
       16611.129      -80.013777
       16611.139      -80.173429
       16611.149      -80.331765
       16611.159      -80.488905
       16611.169      -80.644725
       16611.179      -80.799314
       16611.189      -80.952640
       16611.199      -81.104702
       16611.209      -81.255496
       16611.219      -81.404994
       16611.229      -81.553279
       16611.239      -81.700235
       16611.249      -81.845973
       16611.259      -81.990381
       16611.269      -82.133539
       16611.279      -82.275419
       16611.289      -82.416019
       16611.299      -82.555337
       16611.309      -82.693345
       16611.319      -82.830122
       16611.329      -82.965560
       16611.339      -83.099737
       16611.349      -83.232625
       16611.359      -83.364222
       16611.369      -83.494528
       16611.379      -83.623517
       16611.389      -83.751261
       16611.399      -83.877661
       16611.409      -84.002813
       16611.419      -84.126619
       16611.429      -84.249151
       16611.439      -84.370383
       16611.449      -84.490314
       16611.459      -84.608943
       16611.469      -84.726247
       16611.479      -84.842292
       16611.489      -84.956988
       16611.499      -85.070422
       16611.509      -85.182506
       16611.519      -85.293305
       16611.529      -85.402796
       16611.539      -85.510978
       16611.549      -85.617850
       16611.559      -85.723392
       16611.569      -85.827663
       16611.579      -85.930583
       16611.589      -86.032210
       16611.599      -86.132525
       16611.609      -86.231526
       16611.619      -86.329213
       16611.629      -86.425568
       16611.639      -86.520644
       16611.649      -86.614369
       16611.659      -86.706814
       16611.669      -86.797908
       16611.679      -86.887702
       16611.689      -86.976181
       16611.699      -87.063342
       16611.709      -87.149185
       16611.719      -87.233696
       16611.729      -87.316920
       16611.739      -87.398796
       16611.749      -87.479384
       16611.759      -87.558624
       16611.769      -87.636560
       16611.779      -87.713179
       16611.789      -87.788479
       16611.799      -87.862461
       16611.809      -87.935111
       16611.819      -88.006470
       16611.829      -88.076484
       16611.839      -88.145194
       16611.849      -88.212585
       16611.859      -88.278659
       16611.869      -88.343416
       16611.879      -88.406843
       16611.889      -88.468977
       16611.899      -88.529771
       16611.909      -88.589272
       16611.919      -88.647434
       16611.929      -88.704291
       16611.939      -88.759833
       16611.949      -88.814060
       16611.959      -88.866973
       16611.969      -88.918561
       16611.979      -88.968856
       16611.989      -89.017818
       16611.999      -89.065487
       16612.009      -89.111825
       16612.019      -89.156861
       16612.029      -89.200587
       16612.039      -89.243002
       16612.049      -89.284108
       16612.059      -89.323897
       16612.069      -89.362394
       16612.079      -89.399568
       16612.089      -89.435444
       16612.099      -89.470013
       16612.109      -89.503278
       16612.119      -89.535239
       16612.129      -89.565890
       16612.139      -89.595251
       16612.149      -89.623299
       16612.159      -89.650057
       16612.169      -89.675506
       16612.179      -89.699661
       16612.189      -89.722519
       16612.199      -89.744080
       16612.209      -89.764346
       16612.219      -89.783313
       16612.229      -89.800995
       16612.239      -89.817377
       16612.249      -89.832475
       16612.259      -89.846277
       16612.269      -89.858794
       16612.279      -89.870022
       16612.289      -89.879965
       16612.299      -89.888623
       16612.309      -89.895995
       16612.319      -89.902088
       16612.329      -89.906897
       16612.339      -89.910428
       16612.349      -89.912681
       16612.359      -89.913656
       16612.369      -89.913356
       16612.379      -89.911782
       16612.389      -89.908934
       16612.399      -89.904817
       16612.409      -89.899428
       16612.419      -89.892773
       16612.429      -89.884850
       16612.439      -89.875661
       16612.449      -89.865210
       16612.459      -89.853496
       16612.469      -89.840524
       16612.479      -89.826288
       16612.489      -89.810801
       16612.499      -89.794052
       16612.509      -89.776056
       16612.519      -89.756805
       16612.529      -89.736303
       16612.539      -89.714553
